id,"name","created_at","updated_at"
1,"レディース","2017-06-27 12:26:25","2017-06-27 12:26:25"
2,"メンズ","2017-06-27 12:26:25","2017-06-27 12:26:25"
3,"ベビー・キッズ","2017-06-27 12:26:25","2017-06-27 12:26:25"
4,"インテリア・住まい・小物","2017-06-27 12:26:25","2017-06-27 12:26:25"
5,"エンタメ・ホビー","2017-06-27 12:26:25","2017-06-27 12:26:25"
6,"コスメ・香水・美容","2017-06-27 12:26:25","2017-06-27 12:26:25"
7,"家電・スマホ・カメラ","2017-06-27 12:26:25","2017-06-27 12:26:25"
8,"スポーツ・レジャー","2017-06-27 12:26:25","2017-06-27 12:26:25"
9,"ハンドメイド","2017-06-27 12:26:26","2017-06-27 12:26:26"
10,"チケット","2017-06-27 12:26:26","2017-06-27 12:26:26"
11,"自動車・オートバイ","2017-06-27 12:26:26","2017-06-27 12:26:26"
12,"その他","2017-06-27 12:26:26","2017-06-27 12:26:26"
